anio,region_label,region_slug,q1,q2,q3,q4,vivienda_m2_eur_corriente,deflactor_hasta_1986,vivienda_m2_eur_a_1986,anio_base,vivienda_m2_pct_desde_base,pib_per_capita_eur_a_1986,pib_per_capita_pct_desde_1995
1995,Andalucía,andalucia,513.4,514.7,495.3,514.7,509.52500000000003,0.62,315.9055,1995,0.0,7163.3,0.0
1996,Andalucía,andalucia,507.8,503.6,505.0,513.4,507.45,0.6,304.46999999999997,1995,-3.6199116507943163,7318.4,2.1652031884745737
1997,Andalucía,andalucia,509.2,516.1,510.6,516.1,513.0,0.59,302.66999999999996,1995,-4.1897023002132165,7587.08,5.91598844108161
1998,Andalucía,andalucia,527.3,537.0,548.1,552.3,541.175,0.57,308.4697499999999,1995,-2.3537893452314385,7939.61,10.83732357991427
1999,Andalucía,andalucia,567.6,584.3,601.0,610.7,590.9,0.56,330.904,1995,4.7477805862829126,8275.28,15.523292337330563
2000,Andalucía,andalucia,633.0,663.6,680.3,687.3,666.05,0.54,359.667,1995,13.852718613636018,8674.65,21.098516047073268
2001,Andalucía,andalucia,726.2,767.9,787.4,805.5,771.75,0.52,401.31,1995,27.03482528794212,9000.89,25.652841567433992
2002,Andalucía,andalucia,843.1,880.6,926.5,932.1,895.575,0.51,456.74325000000005,1995,44.58224057510871,9300.17,29.83080423827007
2003,Andalucía,andalucia,983.6,1037.8,1090.7,1121.3,1058.35,0.49,518.5915,1995,64.16032642673204,9472.84,32.24128544106766
2004,Andalucía,andalucia,1179.7,1261.8,1303.6,1362.0,1276.775,0.48,612.852,1995,93.99852170981511,9688.88,35.25721385394998
2005,Andalucía,andalucia,1391.2,1463.5,1490.8,1529.6,1468.775,0.46,675.6365000000001,1995,113.87297783672649,9935.24,38.69641087208409
2006,Andalucía,andalucia,1587.4,1626.3,1643.0,1677.8,1633.625,0.45,735.13125,1995,132.70606241423462,10225.53,42.748872726257446
2007,Andalucía,andalucia,1707.0,1740.4,1752.9,1758.5,1739.7,0.44,765.4680000000001,1995,142.30917157187832,10482.09,46.33046221713455
2008,Andalucía,andalucia,1800.2,1805.8,1780.7,1740.4,1781.775,0.42,748.3455,1995,136.8890380192811,10201.68,42.41592562087306
2009,Andalucía,andalucia,1700.0,1666.0,1634.7,1613.8,1653.625,0.42,694.5224999999999,1995,119.8513479505738,9755.29,36.18430053187778
2010,Andalucía,andalucia,1607.2,1590.1,1561.3,1564.3,1580.725,0.41,648.0972499999999,1995,105.155418313388,9544.72,33.24473357251545
2011,Andalucía,andalucia,1522.7,1514.2,1480.9,1440.8,1489.65,0.4,595.86,1995,88.61969797930075,9153.42,27.78216743679589
2012,Andalucía,andalucia,1379.2,1344.7,1322.3,1288.5,1333.675,0.39,520.13325,1995,64.64836794547735,8623.37,20.38264487038097
2013,Andalucía,andalucia,1285.2,1259.0,1237.6,1208.5,1247.575,0.38,474.0785,1995,50.06972021696361,8445.8,17.903759440481327
2014,Andalucía,andalucia,1207.7,1207.1,1206.4,1211.1,1208.075,0.39,471.14925000000005,1995,49.14246507262456,8607.94,20.167241355241305
2015,Andalucía,andalucia,1208.3,1213.0,1218.9,1223.7,1215.975,0.39,474.23024999999996,1995,50.117756734213216,9064.5,26.54084011558917
2016,Andalucía,andalucia,1210.6,1223.2,1212.8,1215.9,1215.625,0.39,474.09375,1995,50.074547609965634,9390.19,31.087487610458876
2017,Andalucía,andalucia,1227.9,1232.7,1222.7,1245.7,1232.25,0.38,468.255,1995,48.22628919091309,9577.78,33.706252704758974
2018,Andalucía,andalucia,1245.5,1261.5,1267.6,1298.5,1268.275,0.37,469.26175,1995,48.544976266636695,9725.29,35.76549914145717
2019,Andalucía,andalucia,1303.7,1304.3,1309.1,1315.5,1308.15,0.37,484.01550000000003,1995,53.21528115211669,9932.49,38.65802074462887
2020,Andalucía,andalucia,1312.3,1292.4,1290.4,1310.0,1301.275,0.37,481.47175000000004,1995,52.41005617186152,8907.37,24.347298033029485
2021,Andalucía,andalucia,1303.1,1327.9,1351.5,1367.5,1337.5,0.36,481.5,1995,52.41899871955378,9424.47,31.566037999246156
2022,Andalucía,andalucia,1399.6,1397.1,1414.3,1431.5,1410.625,0.33,465.50625,1995,47.356171386696346,9648.03,34.686945960660594
2023,Andalucía,andalucia,1466.3,1477.2,1501.1,1527.7,1493.075,0.32,477.78400000000005,1995,51.24269757886457,10041.48,40.17952619602696
2024,Andalucía,andalucia,1555.7,1588.7,1597.7,1646.2,1597.075,0.32,511.064,1995,61.7774935858983,10559.01,47.40426898217302
2025,Andalucía,andalucia,1698.2,1741.4,1804.0,1855.4,1774.75,0.32,567.92,1995,79.77528089887637,,
